comparison	ID	cosmid_id	gene	AveExpr	t	P_Value	adj_P_Val	B	FC
L2-intestine_up_vs_L2-reference	WBGene00009493	F36H1.5	F36H1.5	8.3	6.24	0	0	8.68	3.53
L2-intestine_up_vs_L2-reference	WBGene00015859	C16D9.4	C16D9.4	7.92	6.24	0	0	8.65	2.53
L2-intestine_up_vs_L2-reference	WBGene00007322	C05B5.5	C05B5.5	7.23	6.22	0	0	8.57	2.28
L2-intestine_up_vs_L2-reference	WBGene00020967	W03A5.2	W03A5.2	7.72	6.21	0	0	8.54	3.17
L2-intestine_up_vs_L2-reference	WBGene00007460	C08F11.13	C08F11.13	9.1	6.21	0	0	8.54	3.07
L2-intestine_up_vs_L2-reference	WBGene00015259	B0554.6	dod-20	7.45	6.19	0	0	8.47	3.09
L2-intestine_up_vs_L2-reference	WBGene00020256	T05C3.6	T05C3.6	8.34	6.19	0	0	8.47	2.93
L2-intestine_up_vs_L2-reference	WBGene00008988	F20G2.5	F20G2.5	7.52	6.17	0	0	8.38	2.47
L2-intestine_up_vs_L2-reference	WBGene00008594	F08H9.6	clec-57	8.13	6.14	0	0	8.26	3.24
L2-intestine_up_vs_L2-reference	WBGene00010123	F55G11.2	F55G11.2	7.49	6.14	0	0	8.26	3.88
L2-intestine_up_vs_L2-reference	WBGene00012823	Y43F8B.13	Y43F8B.13	7.71	6.13	0	0	8.22	2.48
L2-intestine_up_vs_L2-reference	WBGene00022867	ZK1240.2	ZK1240.2	8.56	6.12	0	0	8.22	2.97
L2-intestine_up_vs_L2-reference	WBGene00004058	C44B7.8	pmp-1	8.46	6.12	0	0	8.19	2.64
L2-intestine_up_vs_L2-reference	WBGene00011494	T05F1.9	T05F1.9	8.24	6.11	0	0	8.16	3.52
L2-intestine_up_vs_L2-reference	WBGene00001644	F22D6.12	gly-19	7.56	6.1	0	0	8.13	2.72
L2-intestine_up_vs_L2-reference	WBGene00044287	F21H12.7	F21H12.7	7.22	6.1	0	0	8.12	2.8
L2-intestine_up_vs_L2-reference	WBGene00007775	C27C12.5	tag-324	8.07	6.07	0	0	8	2.77
L2-intestine_up_vs_L2-reference	WBGene00016431	C35A11.4	C35A11.4	8.21	6.07	0	0	7.99	2.62
L2-intestine_up_vs_L2-reference	WBGene00002090	ZK1251.2	ins-7	7.97	6.06	0	0	7.98	4.24
L2-intestine_up_vs_L2-reference	WBGene00001774	Y53F4B.29	gst-26	9.04	6.06	0	0	7.97	2.9
L2-intestine_up_vs_L2-reference	WBGene00003474	T08G5.10	mtl-2	8.62	6.05	0	0	7.94	4.64
L2-intestine_up_vs_L2-reference	WBGene00007236	C01G10.9	C01G10.9	8.36	6.04	0	0	7.91	2.79
L2-intestine_up_vs_L2-reference	WBGene00017449	F14B8.7	F14B8.7	8.26	6.04	0	0	7.89	2.58
L2-intestine_up_vs_L2-reference	WBGene00011495	T05F1.11	T05F1.11	8.56	6.04	0	0	7.89	2.73
L2-intestine_up_vs_L2-reference	WBGene00018153	F37C12.10	F37C12.10	8.7	6.03	0	0	7.85	4.91
L2-intestine_up_vs_L2-reference	WBGene00016542	C39H7.4	C39H7.4	8.68	6.02	0	0	7.83	2.84
L2-intestine_up_vs_L2-reference	WBGene00016502	C37C3.10	C37C3.10	7.52	6.02	0	0	7.8	4.8
L2-intestine_up_vs_L2-reference	WBGene00019738	M02F4.7	clec-265	8.51	6.01	0	0	7.79	3.66
L2-intestine_up_vs_L2-reference	WBGene00020222	T05A7.5	fut-6	7.65	6	0	0	7.74	2.61
L2-intestine_up_vs_L2-reference	WBGene00016900	C53C11.2	C53C11.2	9.08	5.99	0	0	7.69	5.46
L2-intestine_up_vs_L2-reference	WBGene00007424	C08B6.3	C08B6.3	8.25	5.99	0	0	7.68	2.74
L2-intestine_up_vs_L2-reference	WBGene00010977	R02D5.3	R02D5.3	8.82	5.98	0	0	7.67	2.98
L2-intestine_up_vs_L2-reference	WBGene00021928	Y55F3AM.11	Y55F3AM.11	8.49	5.98	0	0	7.67	2.98
L2-intestine_up_vs_L2-reference	WBGene00016576	C41H7.6	C41H7.6	11.11	5.98	0	0	7.65	3.09
L2-intestine_up_vs_L2-reference	WBGene00017592	F19C7.2	F19C7.2	7.52	5.97	0	0	7.62	2.89
L2-intestine_up_vs_L2-reference	WBGene00012822	Y43F8B.12	Y43F8B.12	7.23	5.96	0	0	7.59	3.07
L2-intestine_up_vs_L2-reference	WBGene00015403	C03H5.1	clec-10	7.96	5.95	0	0	7.56	3.1
L2-intestine_up_vs_L2-reference	WBGene00012947	Y47H9C.1	Y47H9C.1	9.31	5.94	0	0	7.49	4.77
L2-intestine_up_vs_L2-reference	WBGene00021580	Y46C8AL.2	clec-174	8.27	5.93	0	0	7.47	4
L2-intestine_up_vs_L2-reference	WBGene00022893	ZK1290.13	ZK1290.13	8.21	5.92	0	0	7.44	2.84
L2-intestine_up_vs_L2-reference	WBGene00006609	W05E10.4	tre-3	8.7	5.92	0	0	7.44	2.48
L2-intestine_up_vs_L2-reference	WBGene00013874	ZC376.2	ZC376.2	7.49	5.91	0	0	7.38	2.29
L2-intestine_up_vs_L2-reference	WBGene00044481	ZK185.5	ZK185.5	8.04	5.88	0	0	7.27	3.4
L2-intestine_up_vs_L2-reference	WBGene00017199	F07C4.2	clec-45	9.35	5.85	0	0	7.15	4.45
L2-intestine_up_vs_L2-reference	WBGene00007864	C32H11.1	C32H11.1	7.57	5.83	0	0	7.1	3.02
L2-intestine_up_vs_L2-reference	WBGene00007857	C31H5.6	C31H5.6	8.55	5.83	0	0	7.08	2.86
L2-intestine_up_vs_L2-reference	WBGene00010769	K11D2.2	asah-1	9.17	5.82	0	0	7.07	3.15
L2-intestine_up_vs_L2-reference	WBGene00016912	C54D1.2	clec-86	8.6	5.82	0	0	7.06	4.83
L2-intestine_up_vs_L2-reference	WBGene00007743	C26C6.9	C26C6.9	8.74	5.82	0	0	7.03	3.29
L2-intestine_up_vs_L2-reference	WBGene00009395	F35C5.7	clec-64	8.39	5.81	0	0	7.01	3.8
L2-intestine_up_vs_L2-reference	WBGene00021321	Y34B4A.5	Y34B4A.5	8.31	5.79	0	0	6.94	4.04
L2-intestine_up_vs_L2-reference	WBGene00016599	C42D8.1	C42D8.1	9.14	5.79	0	0	6.93	3.64
L2-intestine_up_vs_L2-reference	WBGene00011321	T01C3.4	T01C3.4	8.12	5.79	0	0	6.93	2.87
L2-intestine_up_vs_L2-reference	WBGene00016048	C24B9.3	C24B9.3	9.43	5.77	0	0	6.85	2.88
L2-intestine_up_vs_L2-reference	WBGene00043062	Y54G2A.39	clec-80	8.08	5.75	0	0	6.78	2.39
L2-intestine_up_vs_L2-reference	WBGene00013091	Y51B9A.9	Y51B9A.9	7.56	5.75	0	0	6.77	2.61
L2-intestine_up_vs_L2-reference	WBGene00019605	K10B2.2	K10B2.2	8.56	5.75	0	0	6.77	4.5
L2-intestine_up_vs_L2-reference	WBGene00020340	T08B1.1	T08B1.1	9.18	5.75	0	0	6.77	2.87
L2-intestine_up_vs_L2-reference	WBGene00016644	C44C1.5	C44C1.5	8.12	5.74	0	0	6.76	2.92
L2-intestine_up_vs_L2-reference	WBGene00004878	Y69A2AR.4	smf-3	8.06	5.74	0	0	6.75	2.7
L2-intestine_up_vs_L2-reference	WBGene00015565	C07D8.6	C07D8.6	9.61	5.73	0	0	6.69	2.72
L2-intestine_up_vs_L2-reference	WBGene00009432	F35E12.8	F35E12.8	8.47	5.73	0	0	6.69	3.4
L2-intestine_up_vs_L2-reference	WBGene00018616	F48G7.5	F48G7.5	9.01	5.72	0	0	6.69	5.4
L2-intestine_up_vs_L2-reference	WBGene00018647	F49F1.7	F49F1.7	9.8	5.7	0	0	6.6	3.36
L2-intestine_up_vs_L2-reference	WBGene00010858	M04C9.3	M04C9.3	8.67	5.7	0	0	6.6	3.87
L2-intestine_up_vs_L2-reference	WBGene00022562	ZC204.12	ZC204.12	9.17	5.7	0	0	6.59	4.09
L2-intestine_up_vs_L2-reference	WBGene00003571	C07A9.4	ncx-6	7.71	5.69	0	0	6.58	2.51
L2-intestine_up_vs_L2-reference	WBGene00001776	Y53F4B.31	gst-28	8.7	5.69	0	0	6.54	3.13
L2-intestine_up_vs_L2-reference	WBGene00020760	T24C4.4	T24C4.4	8.52	5.68	0	0	6.54	5.01
L2-intestine_up_vs_L2-reference	WBGene00010747	K10D11.3	K10D11.3	7.22	5.68	0	0	6.52	2.15
L2-intestine_up_vs_L2-reference	WBGene00008542	F07A5.3	F07A5.3	8.5	5.68	0	0	6.52	2.83
L2-intestine_up_vs_L2-reference	WBGene00003096	C02A12.4	lys-7	9.42	5.66	0	0	6.46	3.48
L2-intestine_up_vs_L2-reference	WBGene00012253	W04E12.8	clec-50	9.77	5.66	0	0	6.45	2.86
L2-intestine_up_vs_L2-reference	WBGene00044663	F26G1.10	F26G1.10	7.71	5.66	0	0	6.45	3.02
L2-intestine_up_vs_L2-reference	WBGene00044783	T26H5.10	T26H5.10	7.65	5.66	0	0	6.45	4.64
L2-intestine_up_vs_L2-reference	WBGene00014252	ZK1320.2	ZK1320.2	10.06	5.66	0	0	6.45	2.96
L2-intestine_up_vs_L2-reference	WBGene00010215	F57G8.6	nhr-193	7.96	5.65	0	0	6.43	2.66
L2-intestine_up_vs_L2-reference	WBGene00003813	C08B11.4	nrf-6	8.41	5.65	0	0	6.42	2.39
L2-intestine_up_vs_L2-reference	WBGene00008495	F01D5.5	F01D5.5	8.83	5.65	0	0	6.42	3.33
L2-intestine_up_vs_L2-reference	WBGene00020837	T27A1.5	T27A1.5	8.64	5.65	0	0	6.41	2.71
L2-intestine_up_vs_L2-reference	WBGene00008730	F13B12.2	F13B12.2	8.01	5.65	0	0	6.4	2.73
L2-intestine_up_vs_L2-reference	WBGene00007716	C25D7.4	fbxa-82	7.09	5.64	0	0	6.39	2.18
L2-intestine_up_vs_L2-reference	WBGene00022330	Y82E9BL.14	fbxa-80	8.11	5.64	0	0	6.39	3.26
L2-intestine_up_vs_L2-reference	WBGene00020378	T09B4.4	T09B4.4	8.44	5.63	0	0	6.33	3.15
L2-intestine_up_vs_L2-reference	WBGene00010571	K04G11.3	K04G11.3	7.77	5.62	0	0	6.28	2.46
L2-intestine_up_vs_L2-reference	WBGene00021603	Y46H3B.2	clec-204	8.03	5.61	0	0	6.26	2.33
L2-intestine_up_vs_L2-reference	WBGene00011181	R09H10.3	R09H10.3	9.66	5.6	0	0	6.23	3.44
L2-intestine_up_vs_L2-reference	WBGene00008584	F08G5.6	F08G5.6	8.79	5.59	0	0	6.19	3.31
L2-intestine_up_vs_L2-reference	WBGene00014137	ZK896.6	clec-187	8.88	5.58	0	0	6.14	3.03
L2-intestine_up_vs_L2-reference	WBGene00015110	B0281.3	B0281.3	8.01	5.57	0	0	6.13	2.89
L2-intestine_up_vs_L2-reference	WBGene00007431	C08B6.11	C08B6.11	8.04	5.57	0	0	6.1	3.18
L2-intestine_up_vs_L2-reference	WBGene00015981	C18G1.2	elt-7	8.65	5.56	0	0	6.08	3.57
L2-intestine_up_vs_L2-reference	WBGene00016575	C41H7.5	C41H7.5	10.84	5.55	0	0	6.03	3.64
L2-intestine_up_vs_L2-reference	WBGene00000783	T10H4.12	cpr-3	9.16	5.54	0	0	6	2.99
L2-intestine_up_vs_L2-reference	WBGene00013976	ZK455.6	nhr-33	7.37	5.52	0	0	5.92	2.52
L2-intestine_up_vs_L2-reference	WBGene00008200	C49C3.10	C49C3.10	8.05	5.52	0	0	5.92	2.76
L2-intestine_up_vs_L2-reference	WBGene00001591	F11A5.10	glc-1	8.75	5.5	0	0	5.83	2.93
L2-intestine_up_vs_L2-reference	WBGene00011090	R07B7.6	R07B7.6	8.18	5.49	0	0	5.81	2.44
L2-intestine_up_vs_L2-reference	WBGene00017310	F09G2.1	F09G2.1	8.4	5.48	0	0	5.77	2.19
L2-intestine_up_vs_L2-reference	WBGene00010822	M01G12.9	M01G12.9	9.42	5.47	0	0	5.73	3.78
L2-intestine_up_vs_L2-reference	WBGene00009483	F36G3.2	F36G3.2	8.39	5.47	0	0	5.72	2.75
L2-intestine_up_vs_L2-reference	WBGene00019164	H06H21.8	H06H21.8	8.25	5.46	0	0	5.7	2.58
L2-intestine_up_vs_L2-reference	WBGene00020191	T03F1.10	clec-53	7.82	5.45	0	0	5.64	2.47
L2-intestine_up_vs_L2-reference	WBGene00000302	C56A3.7	cav-2	8.28	5.44	0	0	5.63	2.84
L2-intestine_up_vs_L2-reference	WBGene00020280	T06A1.5	T06A1.5	9.16	5.44	0	0	5.62	2.78
